type,LONGITUDE,LATITUDE,AVG_RSRP
0,115.8439,40.4729,-97
0,115.8453,40.4679,-86.35
0,115.8487,40.4683,-76.5
0,115.8451,40.4685,-85
0,115.8467,40.4661,-69.43
0,115.8443,40.4709,-88.2
0,115.8489,40.4685,-82.33
0,115.8467,40.4669,-81
0,115.8505,40.4695,-94
0,115.8475,40.4657,-60
0,115.8463,40.4667,-82.83
0,115.8481,40.4647,-73.33
0,115.8473,40.4639,-74
0,115.8443,40.4711,-87.29
0,115.8455,40.4659,-73
0,115.8437,40.4745,-81
0,115.8459,40.4671,-86.58
0,115.8441,40.4715,-79
0,115.8485,40.4681,-79.5
0,115.8643,40.4701,-84
0,115.8443,40.4707,-98.15
0,115.8471,40.4657,-63.33
0,115.8487,40.4643,-82.7
0,115.8483,40.4647,-82.4
0,115.8475,40.4643,-81
0,115.8491,40.4641,-84.6
0,115.8459,40.4669,-81.67
0,115.8475,40.4675,-83
0,115.8477,40.4675,-89
0,115.8469,40.4657,-61
0,115.8439,40.4731,-89.8
0,115.8447,40.4695,-86.5
0,115.8437,40.4737,-91.4
0,115.8449,40.4689,-87.22
0,115.8447,40.4691,-85.69
0,115.8473,40.4665,-83
0,115.8475,40.4673,-92
0,115.8483,40.4679,-79.5
0,115.8453,40.4677,-84.7
0,115.8441,40.4721,-89
0,115.8437,40.4739,-98
0,115.8451,40.4679,-71
0,115.8481,40.4645,-88
0,115.8439,40.4741,-93
0,115.8475,40.4653,-73.8
0,115.8445,40.4709,-86.33
0,115.8441,40.4727,-91
0,115.8473,40.4657,-69
0,115.8441,40.4719,-81.8
0,115.8467,40.4663,-80.5
0,115.8465,40.4665,-87.75
0,115.8489,40.4643,-85.83
0,115.8465,40.4663,-70.14
0,115.8445,40.4651,-90
0,115.8459,40.4663,-87
0,115.8473,40.4673,-81
0,115.8461,40.4665,-76
0,115.8387,40.4633,-81
0,115.8533,40.4773,-89.5
0,115.8493,40.4641,-79
0,115.8547,40.4779,-89
0,115.8461,40.4669,-77.67
0,115.8449,40.4659,-74
0,115.8483,40.4645,-84
0,115.8485,40.4647,-66
0,115.8451,40.4683,-85.18
0,115.8441,40.4723,-84.67
0,115.8499,40.4637,-87
0,115.8469,40.4663,-88
0,115.8461,40.4693,-93
0,115.8467,40.4667,-84.67
0,115.8613,40.4809,-81
0,115.8461,40.4667,-81.15
0,115.8445,40.4645,-95
0,115.8441,40.4697,-102.17
0,115.8493,40.4639,-86
0,115.8455,40.4675,-84.27
0,115.8445,40.4707,-89.25
0,115.8447,40.4657,-87
0,115.8445,40.4695,-88
0,115.8489,40.4641,-98
0,115.8481,40.4649,-72.13
0,115.8469,40.4671,-79
0,115.8479,40.4677,-74
0,115.8499,40.4691,-78
0,115.8459,40.4673,-87
0,115.8459,40.4665,-83.5
0,115.8479,40.4649,-70.89
0,115.8469,40.4659,-74.58
0,115.8497,40.4665,-81
0,115.8477,40.4677,-77
0,115.8563,40.4615,-92
0,115.8481,40.4677,-71
0,115.8451,40.4681,-79.44
0,115.8497,40.4721,-78
0,115.8455,40.4677,-88.13
0,115.8447,40.4693,-88.29
0,115.8443,40.4715,-79.67
0,115.8477,40.4653,-68.83
0,116.1197,40.3461,-68
0,115.8441,40.4725,-98
0,115.8471,40.4669,-74.5
0,115.8567,40.4783,-73
0,115.8487,40.4677,-78
0,115.8449,40.4691,-89.5
0,115.8463,40.4665,-76
0,115.8441,40.4695,-104
0,115.8457,40.4663,-81
0,115.8469,40.4639,-75
0,115.8445,40.4705,-79.75
0,115.8495,40.4633,-83
0,115.8463,40.4663,-73
0,115.8447,40.4699,-93
0,115.8735,40.4867,-90
0,115.8473,40.4655,-71
0,115.8485,40.4645,-76.6
0,115.8491,40.4643,-75
0,115.8447,40.4701,-89
0,115.8479,40.4665,-92
0,115.8453,40.4661,-83.8
0,115.8701,40.4539,-85
0,115.8445,40.4697,-82.8
0,115.8495,40.4639,-92
0,115.8457,40.4673,-84
0,115.8493,40.4687,-73
0,115.8447,40.4697,-89.14
0,115.9483,40.4549,-79
0,115.8449,40.4685,-81.31
0,115.8455,40.4673,-84.75
0,115.8525,40.4777,-88.5
0,115.8477,40.4647,-83
0,115.8443,40.4717,-101
0,115.8469,40.4661,-60
0,115.9013,40.3865,-84
0,115.8445,40.4701,-93.8
0,115.8443,40.4719,-94.5
0,115.8401,40.4637,-83
0,115.8479,40.4651,-59.67
0,115.8439,40.4735,-81
0,115.8445,40.4699,-86.25
0,115.8449,40.4657,-83.5
0,115.8485,40.4643,-91
0,115.8487,40.4645,-72
0,115.8385,40.4633,-67
0,115.8475,40.4655,-63
0,115.8435,40.4747,-100
0,115.8451,40.4659,-92
0,115.8483,40.4637,-81
0,115.8447,40.4689,-73.5
0,115.8497,40.4637,-83
0,115.8477,40.4673,-74
0,115.8465,40.4661,-67
0,115.8453,40.4655,-97
0,116.0607,40.5283,-87.3
0,115.8473,40.4671,-73
0,115.8493,40.4635,-99
0,115.8461,40.4659,-85
0,115.8469,40.4669,-85.5
0,115.8571,40.4977,-96
0,115.8435,40.4745,-95.33
0,115.8445,40.4703,-85.8
0,115.8439,40.4727,-84
0,115.8491,40.4685,-76
0,115.8497,40.4639,-84.33
0,115.8449,40.4687,-85.56
0,115.8477,40.4651,-72.78
0,115.8439,40.4733,-89.67
0,115.8443,40.4703,-90
0,115.8455,40.4661,-87.5
0,115.8449,40.4693,-87
0,115.8483,40.4635,-83.5
0,115.8471,40.4659,-70.86
0,115.8457,40.4671,-87
